Timestamp,Quadrant,Section,Water Size Width,Water Size Length,Water Size Depth,Pool Type,Treatment,Dips,Firsts,Seconds,Thirds,Fourths,Pupae,GPS Point Accuracy,Latitude,Longitude,New Georeferenced Column
"June 26, 2013 05:45:23 PM",NE,H5,18,15,25,Temp,,10,0.000,0.000,0.000,1.000,0.000,,53.65409300,-113.37678500,POINT (-113.376785 53.654093)
"June 12, 2018 05:19:00 PM",SW,G5,,,,,,,,,,,,,53.44674600,-113.60589800,POINT (-113.605898 53.446746)
"June 12, 2018 03:50:00 PM",SE,L7,,,,,,,,,,,,,53.37337000,-113.32047200,POINT (-113.320472 53.37337)
"June 28, 2017 02:59:00 PM",NW,E1,,,,,,,,,,,,,53.60756800,-113.50491700,POINT (-113.504917 53.607568)
"June 10, 2019 03:31:00 PM",SW,B10,,,,,,,,,,,,,53.51549900,-113.71402000,POINT (-113.71402 53.515499)
"August 09, 2017 02:36:00 PM",NW,E1,,,,,,,,,,,,,53.60176400,-113.49479300,POINT (-113.494793 53.601764)
"August 26, 2016 07:08:00 PM",NW,E2,,,,,,,,,,,,,53.61430600,-113.53343400,POINT (-113.533434 53.614306)
"June 24, 2023 07:36:20 PM",SE,,1,1,1,Ditch,post-treatment,10,,6.000,,,,,53.45715100,-113.32427000,POINT (-113.32427 53.457151)
"April 28, 2021 09:51:48 AM",SW,H9,,,,Temp,post-treatment,,,,,,,,53.42515900,-113.69432000,POINT (-113.69432 53.425159)
"June 22, 2023 08:17:57 PM",SE,,,,,Temp,post-treatment,,,,,,,,53.47003000,-113.45605100,POINT (-113.456051 53.47003)
"July 04, 2016 02:44:00 PM",NW,E5,,,,,,,,,,,,,53.60870800,-113.59680600,POINT (-113.596806 53.608708)
"June 02, 2023 04:43:17 PM",NE,,,,,Temp,pre-treatment,,,,,,,,53.54439800,-113.34422200,POINT (-113.344222 53.544398)
"July 09, 2022 09:41:02 PM",NW,,,,,Semi,pre-treatment,10,0.000,0.000,0.000,0.000,0.000,,53.58098300,-113.72282900,POINT (-113.722829 53.580983)
"June 10, 2019 06:23:00 PM",SW,M5,,,,,,,,,,,,,53.36200000,-113.61056800,POINT (-113.610568 53.362)
"July 11, 2018 04:15:00 PM",NW,G1,,,,,,,,,,,,,53.64070200,-113.50015100,POINT (-113.500151 53.640702)
"July 23, 2018 07:10:00 PM",NW,L9,,,,,,,,,,,,,53.71073200,-113.68909600,POINT (-113.689096 53.710732)
"July 23, 2018 07:32:00 PM",NW,F4,,,,,,,,,,,,,53.61975500,-113.58795300,POINT (-113.587953 53.619755)
"May 31, 2017 03:30:55 PM",SE,B5,,,,,,,,,,,,,53.52633300,-113.38220600,POINT (-113.382206 53.526333)
"May 09, 2017 02:06:00 PM",NE,B5,,,,,,,,,,,,,53.56969400,-113.38532900,POINT (-113.385329 53.569694)
"June 10, 2019 07:24:00 PM",SE,I7,,,,,,,,,,,,,53.41092800,-113.34338300,POINT (-113.343383 53.410928)
"June 17, 2019 02:30:00 PM",SW,G9,,,,,,,,,,,,,53.44686400,-113.71349700,POINT (-113.713497 53.446864)
"April 13, 2016 05:18:09 PM",NE,C2,,,,,,0,,,,,,,53.57872900,-113.45211400,POINT (-113.452114 53.578729)
"April 18, 2023 08:14:11 PM",SW,,1,15,5,Ditch,Outside program,10,8.000,0.000,0.000,0.000,0.000,,53.30871600,-113.65996700,POINT (-113.659967 53.308716)
"July 07, 2022 02:41:32 PM",SE,,,,,Temp,pre-treatment,,,,,,,,53.52330700,-113.36652700,POINT (-113.366527 53.523307)
"June 10, 2019 05:20:00 PM",SW,L5,,,,,,,,,,,,,53.37230400,-113.59019500,POINT (-113.590195 53.372304)
"May 16, 2019 07:45:00 PM",SW,N8,,,,,,,,,,,,,53.34645700,-113.66061400,POINT (-113.660614 53.346457)
"June 27, 2016 02:07:00 PM",NW,F4,,,,,,,,,,,,,53.61485800,-113.58872500,POINT (-113.588725 53.614858)
"May 10, 2017 04:43:00 PM",NW,I3,25,25,30,Temp,post-treatment,12,0.000,0.000,0.000,0.000,0.000,,53.66049800,-113.54720800,POINT (-113.547208 53.660498)
"April 19, 2021 12:54:49 PM",NW,K9,20,10,12,Temp,Outside program,10,0.000,0.000,0.900,0.500,0.000,,53.70057600,-113.68894600,POINT (-113.688946 53.700576)
"August 11, 2016 03:07:00 PM",SE,E7,,,,,,,,,,,,,53.47077500,-113.32053900,POINT (-113.320539 53.470775)
"May 27, 2019 12:53:00 PM",SE,C6,,,,,,,,,,,,,53.51050000,-113.34537900,POINT (-113.345379 53.5105)
"August 20, 2019 04:04:00 PM",NW,A9,,,,,,,,,,,,,53.54965900,-113.70039000,POINT (-113.70039 53.549659)
"July 06, 2016 04:31:00 PM",NE,F4,,,,,,,,,,,,,53.62361100,-113.40637100,POINT (-113.406371 53.623611)
"April 11, 2016 04:00:39 PM",NW,H1,,,,,,0,,,,,,,53.64365600,-113.51348300,POINT (-113.513483 53.643656)
"August 01, 2023 07:05:34 PM",NW,,,,,Ditch,post-treatment,,,,,,,,53.55766300,-113.65060900,POINT (-113.650609 53.557663)
"June 17, 2019 12:56:00 PM",SW,A7,,,,,,,,,,,,,53.53460300,-113.66439700,POINT (-113.664397 53.534603)
"July 04, 2016 12:45:00 PM",SE,E2,,,,,,,,,,,,,53.47633000,-113.46695700,POINT (-113.466957 53.47633)
"June 24, 2022 05:35:15 PM",SE,,,,,Temp,pre-treatment,,,,,,,,53.48066100,-113.41760700,POINT (-113.417607 53.480661)
"June 12, 2018 03:51:00 PM",SW,C13,,,,,,,,,,,,,53.50116300,-113.78826100,POINT (-113.788261 53.501163)
"May 31, 2018 04:02:00 PM",SE,G7,,,,,,,,,,,,,53.45345000,-113.32065400,POINT (-113.320654 53.45345)
"July 09, 2018 06:20:00 PM",SW,E4,,,,,,,,,,,,,53.48208400,-113.57988600,POINT (-113.579886 53.482084)
"July 24, 2017 01:46:00 PM",NE,F4,,,,,,,,,,,,,53.62361500,-113.39812300,POINT (-113.398123 53.623615)
"May 10, 2023 05:59:53 PM",NE,,,,,Temp,pre-treatment,,,,,,,,53.52053700,-113.35958800,POINT (-113.359588 53.520537)
"July 09, 2018 05:23:00 PM",NE,E2,,,,,,,,,,,,,53.60319100,-113.46327900,POINT (-113.463279 53.603191)
"April 24, 2023 07:47:24 PM",NE,,,,,Heli,post-treatment,,,,,,,,53.66508600,-113.49316500,POINT (-113.493165 53.665086)
"June 06, 2017 06:38:00 PM",NE,F4,,,,,,,,,,,,,53.62384700,-113.40632200,POINT (-113.406322 53.623847)
"August 14, 2018 04:56:00 PM",SE,L7,,,,,,,,,,,,,53.36761300,-113.33161900,POINT (-113.331619 53.367613)
"May 27, 2019 06:12:00 PM",SE,L2,,,,,,,,,,,,,53.36967300,-113.46720600,POINT (-113.467206 53.369673)
"May 15, 2023 06:30:07 PM",SE,,1.5,30,5,Semi,post-treatment,10,0.100,0.100,,,,,53.53919900,-113.38059400,POINT (-113.380594 53.539199)
"July 17, 2018 07:09:00 PM",NE,L1,,,,,,,,,,,,,53.70626600,-113.49137900,POINT (-113.491379 53.706266)
"August 07, 2022 04:39:37 PM",SE,,,,,Temp,pre-treatment,,,,,,,,53.42747600,-113.42165900,POINT (-113.421659 53.427476)
"June 27, 2023 08:15:59 PM",SE,,,,,Heli,pre-treatment,,,,,,,,53.47057200,-113.32062000,POINT (-113.32062 53.470572)
"June 20, 2023 07:15:38 PM",SE,,2,8,10,Temp,pre-treatment,10,0.000,0.100,0.200,,,,53.51934500,-113.36468500,POINT (-113.364685 53.519345)
"June 05, 2017 06:44:00 PM",NE,C2,,,,,,,,,,,,,53.58372200,-113.44981900,POINT (-113.449819 53.583722)
"June 18, 2018 02:20:00 PM",NW,F2,,,,,,,,,,,,,53.61620500,-113.52182700,POINT (-113.521827 53.616205)
"June 10, 2019 04:55:00 PM",SE,L4,,,,,,,,,,,,,53.36994300,-113.41668900,POINT (-113.416689 53.369943)
"July 04, 2016 05:34:00 PM",SE,H3,,,,,,,,,,,,,53.43616100,-113.43514200,POINT (-113.435142 53.436161)
"July 09, 2018 03:43:00 PM",NE,G7,,,,,,,,,,,,,53.63699700,-113.34429200,POINT (-113.344292 53.636997)
"June 29, 2017 07:28:00 PM",NW,J1,,,,,,,,,,,,,53.68519500,-113.49382200,POINT (-113.493822 53.685195)
"June 06, 2017 04:04:00 PM",NE,F2,,,,,,,,,,,,,53.62809600,-113.46637100,POINT (-113.466371 53.628096)
"April 26, 2013 05:08:07 PM",SE,H7,15,7,20,Temp,,10,5.000,1.000,0.000,0.000,0.000,,53.42639400,-113.33430100,POINT (-113.334301 53.426394)
"July 07, 2016 05:35:00 PM",NW,G1,,,,,,,,,,,,,53.63954600,-113.49974100,POINT (-113.499741 53.639546)
"July 23, 2018 03:31:00 PM",NE,C7,,,,,,,,,,,,,53.58482700,-113.32364500,POINT (-113.323645 53.584827)
"April 12, 2016 06:35:28 PM",NW,I1,,,,,,,,,,,,,53.66511000,-113.49318100,POINT (-113.493181 53.66511)
"August 01, 2023 04:42:05 PM",NW,,,,,Ditch,post-treatment,,,,,,,,53.54108700,-113.63534500,POINT (-113.635345 53.541087)
"April 15, 2016 04:26:49 PM",NE,I1,,,,,,0,,,,,,,53.66471800,-113.48489400,POINT (-113.484894 53.664718)
"July 09, 2018 12:28:00 PM",NE,B1,,,,,,,,,,,,,53.55873100,-113.47938300,POINT (-113.479383 53.558731)
"June 17, 2019 12:49:00 PM",SE,C2,,,,,,,,,,,,,53.50076400,-113.44900800,POINT (-113.449008 53.500764)
"July 25, 2017 08:16:00 PM",NW,I2,,,,,,,,,,,,,53.67238900,-113.51661900,POINT (-113.516619 53.672389)
"June 06, 2017 05:00:00 PM",NE,F2,,,,,,,,,,,,,53.62496500,-113.46253100,POINT (-113.462531 53.624965)
"May 31, 2018 07:33:00 PM",SW,K4,,,,,,,,,,,,,53.38741900,-113.56632800,POINT (-113.566328 53.387419)
"August 11, 2016 03:10:00 PM",SE,F7,1,60,10,Temp,pre-treatment,20,0.000,0.000,0.000,0.000,0.000,,53.46429100,-113.34420400,POINT (-113.344204 53.464291)
"April 08, 2021 01:30:35 PM",NE,H2,,,,Temp,pre-treatment,,,,,,,,53.65647900,-113.46735800,POINT (-113.467358 53.656479)
"July 11, 2018 04:58:00 PM",NE,H5,,,,,,,,,,,,,53.65042200,-113.36983100,POINT (-113.369831 53.650422)
"June 12, 2018 03:28:00 PM",SW,F12,,,,,,,,,,,,,53.46753900,-113.77935600,POINT (-113.779356 53.467539)
"June 10, 2013 07:52:58 PM",NE,L3,1,4,5,Temp,pre-treatment,10,0.000,0.000,0.000,0.000,2.000,,53.70930000,-113.44260100,POINT (-113.442601 53.7093)
"April 17, 2023 09:23:48 PM",NE,,,,,Ditch,Unknown,,,,,,,,53.57912100,-113.37338900,POINT (-113.373389 53.579121)
"July 26, 2017 06:47:00 PM",SW,E8,,,,,,,,,,,,,53.47904100,-113.67235800,POINT (-113.672358 53.479041)
"June 12, 2018 04:21:00 PM",NE,D1,,,,,,,,,,,,,53.58522600,-113.47017600,POINT (-113.470176 53.585226)
"May 30, 2013 05:44:52 PM",NE,B5,15,15,,Temp,,8,0.000,0.000,0.000,0.000,0.000,,53.56020400,-113.37134800,POINT (-113.371348 53.560204)
"June 27, 2016 01:32:00 PM",SE,E2,,,,,,,,,,,,,53.47795100,-113.46702800,POINT (-113.467028 53.477951)
"May 31, 2017 03:37:02 PM",SE,A5,,,,,,,,,,,,,53.52684600,-113.38276800,POINT (-113.382768 53.526846)
"May 27, 2022 07:55:33 PM",SW,,,,,Heli,pre-treatment,,,,,,,,53.44708100,-113.73562600,POINT (-113.735626 53.447081)
"April 12, 2016 05:46:41 PM",NE,F3,,,,,,0,,,,,,,53.62542800,-113.42274700,POINT (-113.422747 53.625428)
"April 20, 2017 05:16:00 PM",NE,B7,1,20,5,DitchField,pre-treatment,3,10.000,1.000,0.000,0.000,0.000,,53.56291100,-113.32872100,POINT (-113.328721 53.562911)
"July 09, 2018 03:46:00 PM",NE,F1,,,,,,,,,,,,,53.62496800,-113.46826600,POINT (-113.468266 53.624968)
